品类,杯型,冰度,水量,果汁量,水速,果速,通道,总杯数,递减间隔,递减量,指令帧
茉莉雪芽,中杯,正常冰,105,175,0x78,0x73,1,1,0,0,"FF 01 69 78 AF 73 00 00 00 00 01 00 00 FE"
茉莉雪芽,中杯,去冰,105,175,0x78,0x73,1,1,0,0,"FF 02 69 78 AF 73 00 00 00 00 01 00 00 FE"
茉莉雪芽,大杯,正常冰,136,227,0x78,0x73,1,1,0,0,"FF 01 88 78 E3 73 00 00 00 00 01 00 00 FE"
茉莉雪芽,大杯,去冰,136,227,0x78,0x73,1,1,0,0,"FF 02 88 78 E3 73 00 00 00 00 01 00 00 FE"
茉莉雪芽（含果肉补偿）,中杯,正常冰,105,175,0x78,0x73,1,8,2,20,"FF 01 69 78 AF 73 00 00 00 00 FE"
茉莉雪芽（含果肉补偿）,中杯,去冰,105,175,0x78,0x73,1,8,2,20,"FF 02 69 78 AF 73 00 00 00 00 FE"
茉莉雪芽（含果肉补偿）,大杯,正常冰,136,227,0x78,0x73,1,8,2,20,"FF 01 88 78 E3 73 00 00 00 00 FE"
茉莉雪芽（含果肉补偿）,大杯,去冰,136,227,0x78,0x73,1,8,2,20,"FF 02 88 78 E3 73 00 00 00 00 FE"
柳橙百香,中杯,正常冰,180,100,0x82,0x8C,2,1,0,0,"FF 01 B4 82 00 00 64 8C 00 00 01 00 00 FE"
柳橙百香,中杯,去冰,180,100,0x82,0x8C,2,1,0,0,"FF 02 B4 82 00 00 64 8C 00 00 01 00 00 FE"
柳橙百香,大杯,正常冰,234,130,0x82,0x8C,2,1,0,0,"FF 01 EA 82 00 00 82 8C 00 00 01 00 00 FE"
柳橙百香,大杯,去冰,234,130,0x82,0x8C,2,1,0,0,"FF 02 EA 82 00 00 82 8C 00 00 01 00 00 FE"
柳橙百香（含果肉补偿）,中杯,正常冰,180,100,0x82,0x8C,2,8,2,20,"FF 01 B4 82 00 00 64 8C 00 00 FE"
柳橙百香（含果肉补偿）,中杯,去冰,180,100,0x82,0x8C,2,8,2,20,"FF 02 B4 82 00 00 64 8C 00 00 FE"
柳橙百香（含果肉补偿）,大杯,正常冰,234,130,0x82,0x8C,2,8,2,20,"FF 01 EA 82 00 00 82 8C 00 00 FE"
柳橙百香（含果肉补偿）,大杯,去冰,234,130,0x82,0x8C,2,8,2,20,"FF 02 EA 82 00 00 82 8C 00 00 FE"
鸭屎香柠檬茶,中杯,正常冰,130,150,0x6E,0x78,3,1,0,0,"FF 01 82 6E 00 00 00 00 96 78 01 00 00 FE"
鸭屎香柠檬茶,中杯,去冰,130,150,0x6E,0x78,3,1,0,0,"FF 02 82 6E 00 00 00 00 96 78 01 00 00 FE"
鸭屎香柠檬茶,大杯,正常冰,169,195,0x6E,0x78,3,1,0,0,"FF 01 A9 6E 00 00 00 00 C3 78 01 00 00 FE"
鸭屎香柠檬茶,大杯,去冰,169,195,0x6E,0x78,3,1,0,0,"FF 02 A9 6E 00 00 00 00 C3 78 01 00 00 FE"
鸭屎香柠檬茶（含果肉补偿）,中杯,正常冰,130,150,0x6E,0x78,3,8,2,20,"FF 01 82 6E 00 00 00 00 96 78 FE"
鸭屎香柠檬茶（含果肉补偿）,中杯,去冰,130,150,0x6E,0x78,3,8,2,20,"FF 02 82 6E 00 00 00 00 96 78 FE"
鸭屎香柠檬茶（含果肉补偿）,大杯,正常冰,169,195,0x6E,0x78,3,8,2,20,"FF 01 A9 6E 00 00 00 00 C3 78 FE"
鸭屎香柠檬茶（含果肉补偿）,大杯,去冰,169,195,0x6E,0x78,3,8,2,20,"FF 02 A9 6E 00 00 00 00 C3 78 FE"
